Tag Team,Elo,Max Elo,Min Elo,Number of Matches
Cezar Bononi & Ryzin,1094.9995705760416,1095.0,1094.9995705760416,1
T.U.G. Cooper & Lord Crewe,1094.99956948583,1095.0,1094.99956948583,1
Bison XL & Larintiz X,1094.9924916457123,1095.0,1094.9924916457123,1
JB Cole & T.I.M.,1094.9924916457117,1095.0,1094.9924916457117,1
Aaron Mercer & Masada,1094.9924886874396,1095.0,1094.9924886874396,1
Beardhausen (Danhausen & Erick Redbeard),1094.9924885310975,1095.0,1094.9924885310975,1
Hunter Grey & Paul Titan,1094.9197068251856,1095.0,1094.9197068251856,1
The Wingmen (Peter Avalon & Ryan Nemeth),1094.9022893512208,1095.0,1094.9022881784304,8
Action Andretti & Myles Hawkins,1094.901908242402,1095.0,1094.901908242402,2
Shawn Dean & Fuego Del Sol,1094.9005156082064,1095.0,1094.9005156082064,3
Brick Aldridge & Cole Karter,1094.899740076163,1095.0,1094.899740076163,1
M'Badu & KC Navarro,1094.8997400757346,1095.0,1094.8997400757346,1
Mike Verna & Baron Black,1094.899740075592,1095.0,1094.899740075592,1
The Wingmen (Cezar Bononi & JD Drake),1094.894020559253,1095.0,1094.894020559253,2
Cameron Stewart & Ryzin,1094.8866703697436,1095.0,1094.8866703697436,2
Fuego Del Sol & Vary Morales,1094.8866698524216,1095.0,1094.8866698524216,2
The Metro Brothers (Chris Metro & JC Metro),1094.8865592558518,1095.0,1094.8865592558518,2
Baron Black & John Skyler,1094.886350603047,1095.0,1094.886350603047,2
Dontae Smiley & Maxx Stardom,1094.8757185012284,1095.0,1094.8757185012284,2
Ren Jones & Brayden Lee,1094.8748620139274,1095.0,1094.8748620139274,1
Aaron Rourke & Jake Logan,1094.8748620130955,1095.0,1094.8748620130955,1
Bums R Us (Milo Beasley & Ray Beez),1094.8748620128179,1095.0,1094.8748620128179,1
Sotheara Chhun & Tony Vincita,1094.8748530723706,1095.0,1094.8748530723706,1
Marcus Kross & Guillermo Rosas,1094.874853072093,1095.0,1094.874853072093,1
Maxx Stardom & Ryzin,1094.8725050477326,1095.0,1094.8725050477326,1
Cruz & M'Badu,1094.872505043623,1095.0,1094.872505043623,1
Louie Valle & Mike Magnum,1094.872505043623,1095.0,1094.872505043623,1
Donnie Primetime & Ryan Rembrandt,1094.8725050406879,1095.0,1094.8725050406879,1
Brandon Gore & JDX,1094.8725050406874,1095.0,1094.8725050406874,2
Seth Gargis & Ripper Zybyszko,1094.8725050371654,1095.0,1094.8725050371654,1
Baron Black & Frank Stone,1094.8725050371654,1095.0,1094.8725050371654,1
Bobby Wayward & George South Jr.,1094.8725050371654,1095.0,1094.8725050371654,1
Danny Limelight & Royce Isaacs,1094.872505037157,1095.0,1094.872505037157,1
Erik Lockhart & Andrew Lockhart,1094.872505033056,1095.0,1094.872505033056,1
Darian Bengston & Gus De La Vega,1094.872505033056,1095.0,1094.872505033056,1
Alex Chamberlain & Damian Fenrir,1094.872505033056,1095.0,1094.872505033056,1
Kit Sackett & Brandon Gore,1094.8725050330559,1095.0,1094.8725050330559,1
Zachariah & Ren Jones,1094.8725050283595,1095.0,1094.8725050283595,1
Warhorse & Danny Adams,1094.8725050283595,1095.0,1094.8725050283595,1
James Alexander & Ren Jones,1094.8725050283595,1095.0,1094.8725050283595,1
Team High Risk (Simon Lotto & Steven Andrews),1094.8725050283595,1095.0,1094.8725050283595,1
David Ali & Musa,1094.8725050283595,1095.0,1094.8725050283595,1
The Dark Order (Eight and Nine),1094.8725050283595,1095.0,1094.8725050283595,1
Ariel Levy & El Cuervo De Puerto Rico,1094.8725050247465,1095.0,1094.8725050247465,1
Alex Chamberlain & Seth Gargis,1094.872505022404,1095.0,1094.872505022404,1
Anthony Bowens & Lee Johnson,1094.872505014784,1095.0,1094.872505014784,1
GKM & Oliver Sawyer,1094.8725049689074,1095.0,1094.8725049689074,1
Andrea Guercio & Logan James,1094.8725049653851,1095.0,1094.8725049653851,1
Travis Titan & Arik Cannon,1094.8725049612756,1095.0,1094.8725049612756,1
Prince Kai & Will Allday,1094.8725048302638,1095.0,1094.8725048302638,1
Dean Alexander & Carlie Bravo,1094.8725044507014,1095.0,1094.8725044507014,5
Brady Pierce & John Skyler,1094.8725038959515,1095.0,1094.8725038959515,2
Michael Nakazawa & Pineapple Pete,1094.8724121842831,1095.0,1094.8724121842831,1
I.S.H. & Kidd Bandit,1094.872393604302,1095.0,1094.872393604302,1
Kip Sabian & Shawn Spears,1094.8723564256416,1095.0,1094.8723564256416,1
Ryzin & Baron Black,1094.8723564256416,1095.0,1094.8723564256416,1
Carlie Bravo & JDX,1094.8713169403482,1095.0,1094.8713169403482,1
Teddy Goodz & Jorge Santi,1094.8713169361229,1095.0,1094.8713169361229,1
Chuck Taylor & Wheeler Yuta,1094.8118081076952,1095.0,1094.8118081076952,3
Ryzin & Sean Maluta,1094.788222140308,1095.0,1094.788222140308,2
Milk Chocolate (Brandon Watts & Randy Summers),1094.7865279470143,1095.0,1094.7865279470143,2
The Wingmen (Ryan Nemeth & JD Drake),1094.7807791577568,1095.0,1094.7807791577568,3
Duke Davis & Ganon Jones,1094.773471941595,1095.0,1094.773471941595,3
Jorel Nelson & Royce Isaacs,1094.7731995940233,1095.0,1094.7731995940233,4
Kit Sackett & Justin Law,1094.7617479553412,1095.0,1094.7617479553412,1
KC Navarro & Aaron Frye,1094.7617479534258,1095.0,1094.7617479534258,1
Vary Morales & Seth Gargis,1094.7617479515102,1095.0,1094.7617479515102,1
Chad Lennex & Zachariah,1094.7614169377578,1095.0,1094.7614169377578,2
Brandon Cutler & Sonny Kiss,1094.6416588642787,1095.0,1094.6416588642787,3
Vary Morales & Andre Montoya,1094.600277234913,1095.0,1094.600277234913,2
Faboo Andre & Tony Donati,1094.5968806279054,1095.0,1094.5968806279054,1
Vic Capri & GPA,1094.5968804487475,1095.0,1094.5968804487475,1
Adam Priest & KC Navarro,1094.5919877227127,1095.0,1094.5919877227127,1
Falco & Mike Magnum,1094.5919875880265,1095.0,1094.5919875880265,1
D3 & Vary Morales,1094.590130412563,1095.0,1094.590130412563,1
Vary Morales & LaBron Kozone,1094.590130295534,1095.0,1094.590130295534,1
Calvin Stewart & Puf,1094.4088782061935,1095.0,1094.4088782061935,1
D3 & Faboo Andre,1094.4088781476828,1095.0,1094.4088781476828,1
Daniel Garcia & Kevin Blackwood,1094.2908433540467,1095.0,1094.2908433540467,2
Dean Alexander & Justin Law,1094.2412299955038,1095.0,1094.2412299955038,1
Fuego Del Sol & Jake St. Patrick,1094.1297533900351,1095.0,1094.1297533900351,2
JP Daily & Tommy Daily,1093.44489920334,1095.0,1093.44489920334,1
Cezar Bononi & David Ali,1090.9760519613785,1095.0,1090.9760519613785,1
The Initiative (Brandon Cutler & Peter Avalon),1085.1510393070134,1095.0,1085.1510393070134,5
Strong Hearts (El Lindaman & T-Hawk),1082.3189268648434,1095.0,1082.3189268648434,1
KC Rocker & Caleb Teninty,1080.880614392518,1095.0,1080.880614392518,1
Matt Vandagriff & Knull,1080.8802156915044,1095.0,1080.8802156915044,1
Kevin Knight & The DKC,1080.879816956713,1095.0,1080.879816956713,1
Fuego Del Sol & Low Rider,1048.9449134238073,1095.0,1048.9449134238073,2
Pineapple Pete & Anthony Catena,1048.2200169542866,1095.0,1048.2200169542866,1
Joe Alonzo & Jon Cruz,1048.1033086219595,1095.0,1048.1033086219595,1
Brick City Boyz (Victor Chase & Julio Cruz),905.7986825721407,1095.0,905.7986825721407,1
Luke Curtis & Cameron Stewart,892.064881264557,1095.0,892.064881264557,1
Liam Gray & Adrian Alanis,422.9009523952606,1095.0,422.9009523952606,7
Joey Keys & Spencer Slade,389.1196412381188,1095.0,389.1196412381188,1
Lee Johnson & Musa,310.99999999996,1095.0,310.99999999996,3
Chris Peaks & Louie Valle,198.99957683774517,1095.0,198.99957683774517,2
Jake St. Patrick & Sage Scott,198.8997477257567,1095.0,198.8997477257567,3
D3 & Angel Fashion,198.87288977013782,1095.0,198.87288977013782,2
Hunter Knott & Rosario Grillo,198.87287986618426,1095.0,198.87287986618426,3
Kit Sackett & Hayden Backlund,198.5940968805649,1095.0,198.5940968805649,3
Kal Herro & Isaiah Moore,100.0,1095.0,100.0,1
Luke Sampson & Guillermo Rosas,100.0,1095.0,100.0,1
Adam Priest & Aaron Frye,100.0,1095.0,100.0,1
Dean Alexander & Dillon McQueen,100.0,1095.0,100.0,1
Brady Pierce & Pineapple Pete,100.0,1095.0,100.0,1
Will Allday & Edge Stone,100.0,1095.0,100.0,1
